,DATE,ANDAMAN&NICOBARISLANDS,ARUNACHALPRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DADRA&NAGARHAVELI,DAMAN&DIU,DELHI,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JHARKHAND,KARNATAKA,KERALA,LAKSHADWEEP,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDHRAPRADESH,JAMMUANDKASHMIR
39,2020-04-23,300.0,0,0,58.8235294117647,0,0,0,0,39.130434782608695,0,-5.240174672489083,-33.333333333333336,0,0,100.0,-9.090909090909092,0,185.71428571428572,80.51044083526682,0,0,0,0,50.0,0,-81.48148148148148,-50.326797385620914,0,63.63636363636363,0,-45.535714285714285,0,6.451612903225806,50.70422535211268,0.0
40,2020-04-24,75.0,0,-100.0,96.29629629629629,0,0,0,0,7.8125,0,-11.981566820276498,-16.666666666666668,-100.0,-14.285714285714286,61.111111111111114,-70.0,0,59.0,-49.87146529562982,0,0,0,0,-16.666666666666668,0,200.0,-7.894736842105263,0,33.333333333333336,0,81.9672131147541,0.0,75.75757575757575,-29.906542056074766,-25.925925925925927
41,2020-04-25,-42.857142857142854,0,0,-47.16981132075472,0,0,0,0,-19.565217391304348,0,34.031413612565444,140.0,0,33.333333333333336,-10.344827586206897,133.33333333333334,0,-37.735849056603776,107.94871794871794,0,0,0,0,20.0,0,-33.333333333333336,-30.0,0,-8.333333333333334,0,54.95495495495496,-100.0,-1.7241379310344827,-9.333333333333334,110.0
42,2020-04-26,-100.0,0,0,-7.142857142857143,700.0,-100.0,0,0,163.96396396396398,0,-10.15625,-25.0,0,87.5,-88.46153846153847,57.142857142857146,0,46.464646464646464,-45.745992601726265,0,0,0,0,-50.0,-100.0,40.0,108.16326530612245,0,-3.0303030303030303,0,-53.48837209302326,0,-29.82456140350877,35.294117647058826,-30.952380952380953
43,2020-04-27,0,0,0,165.3846153846154,12.5,0,0,0,-35.153583617747444,0,7.391304347826087,-44.44444444444444,0,40.0,200.0,18.181818181818183,0,-48.275862068965516,18.636363636363637,0,0,0,0,400.0,0,-42.857142857142854,-24.50980392156863,0,-18.75,0,41.25,-100.0,-5.0,-10.869565217391305,-20.689655172413794
44,2020-04-28,0,0,0,-71.01449275362319,22.22222222222222,0,0,0,8.421052631578947,0,-8.502024291497976,40.0,0,-90.47619047619048,22.22222222222222,-69.23076923076923,0,196.0,39.46360153256705,0,0,0,0,-100.0,0,50.0,32.467532467532465,0,132.69230769230768,0,-40.70796460176991,0,26.31578947368421,7.317073170731708,-8.695652173913043
45,2020-04-29,0,0,-100.0,85.0,9.090909090909092,-100.0,0,0,-39.320388349514566,0,36.283185840707965,-57.142857142857146,0,0.0,9.090909090909092,150.0,0,-22.07207207207207,-17.994505494505493,0,0,0,0,0,0,175.0,-25.49019607843137,0,-14.049586776859504,0,20.895522388059703,-66.66666666666667,-41.666666666666664,-9.090909090909092,-23.80952380952381
46,2020-04-30,0,0,0,-40.54054054054054,-50.0,0,0,0,-39.2,0,1.6233766233766234,833.3333333333334,0,50.0,150.0,-80.0,0,-62.42774566473989,-2.3450586264656614,0,0,0,0,157.14285714285714,0,218.1818181818182,89.47368421052632,0,54.80769230769231,0,-4.938271604938271,100.0,17.857142857142858,16.25,106.25
47,2020-05-01,0,0,-100.0,86.36363636363636,133.33333333333334,50.0,0,0,193.42105263157896,0,4.15335463258786,-35.714285714285715,0,0.0,-20.0,-100.0,0,38.46153846153846,72.89879931389365,0,0,0,0,-38.888888888888886,0,0.0,-43.05555555555556,0,26.08695652173913,-100.0,51.94805194805195,-100.0,12.121212121212121,-29.032258064516128,-24.242424242424242
48,2020-05-02,0,0,0,-63.41463414634146,-57.142857142857146,-100.0,0,0,72.19730941704036,0,2.147239263803681,5.555555555555555,0,-33.333333333333336,-50.0,0,0,-18.88888888888889,-21.626984126984127,0,0,0,0,-45.45454545454545,0,78.0952380952381,29.26829268292683,0,13.793103448275861,0,35.8974358974359,0,243.24324324324326,19.696969696969695,12.0
49,2020-05-03,0,0,0,140.0,-50.0,0,0,0,11.197916666666666,0,12.312312312312311,247.3684210526316,0,-100.0,8.333333333333334,-100.0,0,-32.87671232876713,-14.177215189873417,0,0,0,0,-66.66666666666667,-100.0,76.47058823529412,7.547169811320755,0,15.151515151515152,500.0,-0.6289308176100629,-50.0,117.32283464566929,0.0,92.85714285714286
50,2020-05-04,0,0,0,-69.44444444444444,66.66666666666667,-92.85714285714286,0,0,-18.26697892271663,0,0.5347593582887701,13.636363636363637,0,0,184.6153846153846,0,0,114.28571428571429,131.12094395280235,0,0,0,0,250.0,0,-60.60606060606061,53.50877192982456,0,98.1203007518797,8.333333333333334,-23.417721518987342,-100.0,-77.89855072463769,-11.39240506329114,-53.7037037037037
51,2020-05-05,0,0,0,-36.36363636363637,240.0,0.0,0,0,-40.97421203438395,0,17.28723404255319,-58.666666666666664,0.0,0,-40.54054054054054,0,0,1.9047619047619047,-37.2048500319081,0,0,0,0,14.285714285714286,0,68.46153846153847,-44.57142857142857,0,-3.6053130929791273,0.0,-5.785123966942149,0,39.34426229508197,11.428571428571429,-40.0
52,2020-05-06,0,0,-50.0,0.0,-70.58823529411765,-100.0,-100.0,0,107.76699029126213,0,-13.832199546485262,48.38709677419355,0.0,-80.0,-9.090909090909092,-100.0,0,-16.822429906542055,25.304878048780488,0,0,0,0,250.0,0,-65.75342465753425,63.91752577319588,0,51.77165354330709,69.23076923076923,3.508771929824561,-100.0,31.764705882352942,-8.974358974358974,126.66666666666667
53,2020-05-07,0,0,700.0,14.285714285714286,120.0,0,0,0,4.672897196261682,0,2.1052631578947367,-32.608695652173914,200.0,150.0,-40.0,0,0,28.089887640449437,-1.37875101378751,0,0,0,0,-50.0,0,57.333333333333336,-30.81761006289308,0,-24.77302204928664,9.090909090909092,-38.13559322033898,0,-17.857142857142858,0.0,-47.05882352941177
54,2020-05-08,0,0,-25.0,262.5,0.0,0,0,0,-24.553571428571427,0,0.5154639175257731,-29.032258064516128,33.333333333333336,340.0,300.0,0,0,-21.92982456140351,-10.444078947368421,0,0,0,0,264.2857142857143,0,-26.271186440677965,38.18181818181818,0,3.4482758620689653,25.0,95.89041095890411,0,41.30434782608695,-9.859154929577464,66.66666666666667
55,2020-05-09,0,0,-66.66666666666667,10.344827586206897,109.0909090909091,0,0,0,-33.72781065088758,0,1.0256410256410255,27.272727272727273,-50.0,-90.9090909090909,-14.583333333333334,100.0,0,30.337078651685392,6.9788797061524335,0,0,0,0,60.78431372549019,-100.0,-64.36781609195403,-15.131578947368421,0,-12.333333333333334,-43.333333333333336,11.188811188811188,100.0,-16.923076923076923,15.625,-56.666666666666664
56,2020-05-10,0,0,-50.0,200.0,-82.6086956521739,0,0,0,70.08928571428571,0,1.015228426395939,0.0,200.0,-50.0,31.70731707317073,250.0,0,35.3448275862069,66.78111587982832,0,-100.0,0,0,-69.51219512195122,0,96.7741935483871,-17.829457364341085,0,27.186311787072242,-5.882352941176471,-40.880503144654085,-75.0,41.666666666666664,12.162162162162161,92.3076923076923
57,2020-05-11,0,0,100.0,-56.25,100.0,0,0,0,-18.635170603674542,0,-12.814070351758794,-3.5714285714285716,-83.33333333333333,300.0,-74.07407407407408,0.0,0,8.9171974522293,-36.69583118888317,0,0,0,0,52.0,-100.0,-11.475409836065573,64.15094339622641,0,19.282511210762333,-100.0,12.76595744680851,-100.0,-18.954248366013072,40.963855421686745,-28.0
58,2020-05-12,0,0,-100.0,209.52380952380952,-25.0,0,0,0,30.967741935483872,0,4.322766570605188,85.18518518518519,700.0,175.0,350.0,-28.571428571428573,0,17.54385964912281,-16.585365853658537,0,0,0,0,-42.10526315789474,0,-31.48148148148148,-20.689655172413794,0,-10.275689223057643,0,-14.150943396226415,0,-11.290322580645162,4.273504273504273,205.55555555555554
59,2020-05-13,0,0,0,-43.07692307692308,-33.333333333333336,0,0,0,-11.576354679802956,0,0.5524861878453039,-74.0,-87.5,-54.54545454545455,-46.03174603174603,100.0,0,-6.965174129353234,45.71150097465887,0,0,0,0,359.09090909090907,0,-72.97297297297297,46.3768115942029,0,-28.910614525139664,-50.0,3.2967032967032965,200.0,6.363636363636363,-27.049180327868854,-30.90909090909091
