,From,To,Per run_Weight,Date_S,Date_E,Week_Count,Week_String
9796,UTTAR PRADESH,GUJARAT,249.05252308762886,,,      W   F  ,2
9797,RAJASTHAN,MADHYA PRADESH,233.08499706656065,,,      W   F  ,2
9798,RAJASTHAN,GUJARAT,279.2313918245672,,,      W   F  ,2
9799,MADHYA PRADESH,GUJARAT,797.0951617309976,,,      W   F  ,2
9800,RAJASTHAN,HARYANA,725.5813650241233,,,  M   W   F  ,3
9801,RAJASTHAN,DELHI NCT,520.4186349758767,,,  M   W   F  ,3
9802,HARYANA,DELHI NCT,725.5813650241233,,,  M   W   F  ,3
9803,DELHI NCT,HARYANA,416.59682018435547,,,  M   W   F  ,3
9804,DELHI NCT,RAJASTHAN,829.4031798156445,,,  M   W   F  ,3
9805,HARYANA,RAJASTHAN,416.59682018435547,,,  M   W   F  ,3
9806,DELHI NCT,UTTAR PRADESH,1300.0,,,  M   W   F  ,3
9807,DELHI NCT,RAJASTHAN,1014.0,"Wed Jun 03, 2020","Thu May 13, 2021",      W      ,1
9808,RAJASTHAN,DELHI NCT,1014.0,"Tue Jun 02, 2020","Fri May 14, 2021",        T    ,1
9809,UTTAR PRADESH,DELHI NCT,1300.0,,,    T   T   S,3
9810,UTTAR PRADESH,MADHYA PRADESH,564.768796860032,,,S M T W T F S,7
9811,UTTAR PRADESH,MAHARASHTRA,1465.231203139968,,,S M T W T F S,7
9812,MADHYA PRADESH,MAHARASHTRA,564.768796860032,,,S M T W T F S,7
9813,DELHI NCT,UTTAR PRADESH,1694.0,,,S M T W T F S,7
9814,KERALA,KARNATAKA,510.7635012487177,,,S M T W T F S,7
9815,KERALA,GOA,24.163528717036158,,,S M T W T F S,7
9816,KERALA,MAHARASHTRA,1145.072970034246,,,S M T W T F S,7
9817,KARNATAKA,GOA,10.555476623607058,,,S M T W T F S,7
9818,KARNATAKA,MAHARASHTRA,500.2080246251106,,,S M T W T F S,7
9819,GOA,MAHARASHTRA,34.719005340643214,,,S M T W T F S,7
9820,UTTAR PRADESH,DELHI NCT,1694.0,,,S M T W T F S,7
9821,UTTARAKHAND,UTTAR PRADESH,543.8926876457205,,,S M T W   F S,6
9822,UTTARAKHAND,HARYANA,136.8418155113934,,,S M T W   F S,6
9823,UTTARAKHAND,PUNJAB,141.26549684288608,,,S M T W   F S,6
9824,UTTAR PRADESH,HARYANA,267.62066121439875,,,S M T W   F S,6
9825,UTTAR PRADESH,PUNJAB,276.2720264313217,,,S M T W   F S,6
9826,HARYANA,PUNJAB,404.46247672579216,,,S M T W   F S,6
9827,DELHI NCT,HARYANA,112.31103262762073,,,S M T W T F S,7
9828,DELHI NCT,UTTAR PRADESH,446.3924214964607,,,S M T W T F S,7
9829,DELHI NCT,MADHYA PRADESH,246.1619069027141,,,S M T W T F S,7
9830,DELHI NCT,MAHARASHTRA,638.6402878905539,,,S M T W T F S,7
9831,DELHI NCT,GOA,13.476698289226155,,,S M T W T F S,7
9832,DELHI NCT,KARNATAKA,284.86756566414516,,,S M T W T F S,7
9833,DELHI NCT,KERALA,186.15008712927929,,,S M T W T F S,7
9834,HARYANA,UTTAR PRADESH,27.611994519064286,,,S M T W T F S,7
9835,HARYANA,MADHYA PRADESH,15.226560525857954,,,S M T W T F S,7
9836,HARYANA,MAHARASHTRA,39.50365481065279,,,S M T W T F S,7
9837,HARYANA,GOA,0.8336129857440826,,,S M T W T F S,7
9838,HARYANA,KARNATAKA,17.620732976175592,,,S M T W T F S,7
9839,HARYANA,KERALA,11.514476810126025,,,S M T W T F S,7
